index,var,beta_clock1,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
303,cg24805210,-0.137834732,14,23068755,ACIN1,ACIN1,22985,conserved gene and region in mouse and human,ACIN1_Intron,"Intron (ENST00000557515.5/22985, intron 2 of 11)",14,54650971,Acin1
304,cg24888049,-0.039374797,15,90883437,FURIN,FURIN,5045,"mapped in human, not mapped in mouse",FURIN_threeUTR,3' UTR,,,
305,cg24952195,0.07968321,3,18356048,SATB1,SATB1,6304,conserved gene but different region in human and mouse,SATB1_Intron,"Intron (ENST00000414318.2/9779, intron 1 of 8)",17,51746925,Satb1
306,cg24977387,-0.019749715,7,114431542,FOXP2,FOXP2,93986,conserved gene and region in mouse and human,FOXP2_Intron,"Intron (ENST00000412402.5/93986, intron 3 of 19)",6,15201985,Foxp2
307,cg25019875,0.138827739,1,37275026,MIR4255,MIR4255,100422898,"mapped in human, not mapped in mouse",MIR4255_Intron,"Intron (ENST00000657513.1/ENST00000657513.1, intron 1 of 3)",4,125283048,Zc3h12a
308,cg25033328,-0.131315015,3,152446541,MBNL1,MBNL1,4154,conserved gene and region in mouse and human,MBNL1_Intron,"Intron (ENST00000282486.10/4154, intron 5 of 9)",3,60614521,Mbnl1
309,cg25184118,-0.197577125,11,64690444,NRXN2,NRXN2,9379,"mapped in human, not mapped in mouse",NRXN2_Exon,"Exon (ENST00000377551.5/9379, exon 4 of 22)",,,
310,cg25217825,0.075596402,8,136042419,LINC02055,KHDRBS3,107986980,mapped to different gene in human and mouse,LINC02055_Intron,"Intron (ENST00000650054.1/ENST00000650054.1, intron 2 of 5)",15,69499591,Gm5216
311,cg25424883,-0.277068553,2,127763116,WDR33,WDR33,55339,conserved gene but different region in human and mouse,WDR33_threeUTR,3' UTR,18,31835426,Wdr33
312,cg25468783,0.11346356,7,151136533,AGAP3,AGAP3,116988,conserved gene but different region in human and mouse,AGAP3_Exon,"Exon (ENST00000467250.1/116988, exon 2 of 2)",5,24495255,Agap3
313,cg25603344,-0.17847739,1,38114450,MIR3659,MIR3659,100500801,"mapped in human, not mapped in mouse",MIR3659_Intron,"Intron (ENST00000428151.1/ENST00000428151.1, intron 4 of 4)",,,
314,cg25943666,0.154930766,12,53339083,SP7,SP7,121340,conserved gene but different region in human and mouse,SP7_Intron,"Intron (ENST00000547755.1/121340, intron 1 of 1)",15,102370930,Sp7
315,cg26012482,0.096389422,2,8283025,LINC00299,LINC00299,339789,"mapped in human, not mapped in mouse",LINC00299_Intron,"Intron (ENST00000430192.5/339789, intron 6 of 7)",,,
316,cg26067250,0.510612929,2,172085721,DLX1,DLX1,1745,mapped to different gene in human and mouse,DLX1_Exon,Promoter (<=1kb),2,71530037,Dlx1
317,cg26072749,-0.099396313,17,48579912,HOXB3,MIR10A,3213,mapped to different gene in human and mouse,HOXB3_Exon,"Exon (ENST00000548801.1/406902, exon 1 of 1)",11,96317199,Hoxb4
318,cg26275174,-0.040912185,9,2159835,SMARCA2,SMARCA2,6595,"mapped in human, not mapped in mouse",SMARCA2_Exon,"Exon (ENST00000635133.1/6595, exon 2 of 6)",19,26749873,Smarca2
319,cg26311454,0.064506134,12,49126865,TUBA1B,TUBA1B,10376,"mapped in human, not mapped in mouse",TUBA1B_Intergenic_downstream,Distal Intergenic,,,
320,cg26418994,0.005591741,18,37351224,CELF4,CELF4,56853,"mapped in human, not mapped in mouse",CELF4_Intron,"Intron (ENST00000420428.7/56853, intron 2 of 12)",,,
321,cg26512254,0.088946847,7,27200144,HOTTIP,HOXA13,100316868,mapped to different gene in human and mouse,HOTTIP_Intron,"Intron (ENST00000421733.1/100316868, intron 1 of 1)",6,52260841,Hoxa13
322,cg26581729,-0.010839533,9,137045340,NPDC1,NPDC1,56654,"mapped in human, not mapped in mouse",NPDC1_Promoter,Promoter (<=1kb),,,
323,cg26589497,-0.008017655,5,140114941,PURA,PURA,5813,conserved gene and region in mouse and human,PURA_Exon,Promoter (<=1kb),18,36287918,Pura
324,cg26614073,-0.01563665,3,47476329,SCAP,SCAP,22937,"mapped in human, not mapped in mouse",SCAP_Promoter,Promoter (<=1kb),,,
325,cg26662324,-0.32657677,10,125057293,CTBP2,CTBP2,1488,"mapped in human, not mapped in mouse",CTBP2_Intron,"Intron (ENST00000337195.9/1488, intron 2 of 10)",,,
326,cg26709300,-0.037799163,16,30095361,YPEL3,BOLA2,83719,conserved gene and region in mouse and human,YPEL3_Exon,Promoter (<=1kb),7,126777843,Ypel3
327,cg26844246,0.150487122,5,171309273,TLX3,TLX3,30012,conserved gene and region in mouse and human,TLX3_fiveUTR,Promoter (<=1kb),11,33203551,Tlx3
328,cg27088374,-0.136771586,5,157816777,CLINT1,CLINT1,9685,"mapped in human, not mapped in mouse",CLINT1_Exon,"Exon (ENST00000523094.5/9685, exon 3 of 12)",11,45884384,Clint1
329,cg27201382,0.44464499,11,27720483,BDNF,BDNF,627,conserved gene and region in mouse and human,BDNF_fiveUTR,Promoter (<=1kb),2,109676257,Bdnf
330,cg27228973,-0.038098753,1,41404380,FOXO6-AS1,EDN2,101929901,"mapped in human, not mapped in mouse",FOXO6-AS1_Intergenic_upstream,Distal Intergenic,4,120243117,Foxo6
331,cg27507315,-0.21075238,11,16356733,SOX6,SOX6,55553,"mapped in human, not mapped in mouse",SOX6_Intron,"Intron (ENST00000655819.1/55553, intron 1 of 14)",7,115825016,Sox6
332,cg27547112,0.010457976,9,83973650,HNRNPK,HNRNPK,3190,conserved gene but different region in human and mouse,HNRNPK_Intron,"Intron (ENST00000448389.1/ENST00000448389.1, intron 1 of 1)",13,58395939,Hnrnpk
333,cg27553955,0.094160723,2,42493186,KCNG3,KCNG3,170850,"mapped in human, not mapped in mouse",KCNG3_Exon,Promoter (<=1kb),,,
334,cg27581159,-0.129683554,1,217089866,ESRRG,ESRRG,2104,"mapped in human, not mapped in mouse",ESRRG_Intron,"Intron (ENST00000366940.6/2104, intron 1 of 8)",1,187651875,Esrrg
335,cg27657271,-0.070242698,7,101816336,CUX1,CUX1,1523,conserved gene and region in mouse and human,CUX1_Promoter,Promoter (<=1kb),5,136566911,Cux1
336,cg27662445,-0.115571957,1,10593869,PEX14,PEX14,5195,conserved gene and region in mouse and human,PEX14_Intron,"Intron (ENST00000356607.9/5195, intron 3 of 8)",4,148988985,Pex14
